likes,about_post,date,type,comments,tagged_names
3002126.0," jacquelinef143 Verified We’vestartedhomedelivery!!Stayhealthyandhydratedinlockdownwithourfreshjuices,proteinshakesandnutmilks!! 💜❤️💙 26w",APRIL 18,video,4585.0,  @rawpressery
3327060.0, jacquelinef143 Verified Timekeepsonticking!! 26w,APRIL 18,video,2715.0, 
710384.0," jacquelinef143 Verified PlayingSonaMukerjee,aloyalwifewhosetsouttoproveherhusband’sinnocence..Howfarwillshegoforlove? Thisoneisclosetomyheartandexcitedtosharethatthetrailerwillbeoutat12PMon on17April!!Mrs.SerialKillerpremieresMay1❤️❤️❤️❤️ 26w",APRIL 16,post,3590.0,  @netflix_in
933063.0, jacquelinef143 Verified WanttowinaBabyGwatch??StayHomeStayToughwith andjoinmyInversionchallenge!Inversionsareanimportantpartofmydailyfitnessroutineasitincreasesbloodflowandimprovescirculation!  Iwannaseesomeinversioninspirationfromyou!Andtoallmyfanshere’syourchancetowin!Justtag2ofyourfriendsonthispostandDMyourvideosto #stayhomestaytoughwith ,APRIL 15,post,6531.0,  @babyg_in @kuldeepshashi @saajan_singh23 @babyg_in @babyg_in 26w
964434.0, jacquelinef143 Verified 💜🧚🏼‍♂️ 27w,APRIL 13,post,2830.0, 
1521493.0," jacquelinef143 Verified Rightnow,ourhousehelp,driversandotherstaffallneedusduringthesedifficulttimes.AndthroughUPI,wecanhelpprovidetheirsalariesinaquickandeasymannerwithoutevenhavingtoleavehome.#PaySafeIndia#UPIChalega #NPCI 27w",APRIL 12,video,6177.0,  @upichalega
1504428.0," jacquelinef143 Verified Myonemanarmy!!!You’veseenitallthroughthese10yearsandyou’vestuckwithme,foughtformeandbeenarealbrotherfromanothermother,Amukutty!!Loveyou happyhappybday,I’mprettysurewe’llstillbemakingourTikTokswhenwe60yearsoldwhichislikeayearawayforyou🤪🤪🤪loveyouuuuuu❤️❤️❤️❤️ 27w",APRIL 11,post,4448.0,  @shaanmu
1008182.0, jacquelinef143 Verified 💛🧡❤️ 27w,APRIL 9,post,2175.0, 
1246129.0, jacquelinef143 Verified HappyBirthdayMumsie!!Loveyoumissyouandwishyouwereherewithmequarantinedtogether💜💜 ,APRIL 7,post,5509.0,  @kimfernz77 28w
751936.0," jacquelinef143 Verified Atatimewhenwesitandcomplainabouttheboredomthathascreptintoourlivesasaresultofthepandemicandthesubsequentlockdown,doctorsandmedicalstaffarebattlingonthefrontlinesastheyprotecthumancivilisation,riskingtheirownlives..OntheoccasionofWorldHealthDay,myheartgoesouttothemasinthishour,theyaresoldiers,heroesanddemigods..Doctorsareourfirstandlastlineofdefenceagainstthepandemic,andtheleastthatwecandoistothankthem,followingtheguidelinessetforthbythemandstayingathome,nomatterwhat!!#stayindoorssavelives#worldhealthday#strongertogether 28w",APRIL 7,post,4448.0, 
